OPTION_SYMBOL,UNDERLYING_TICKER,TRADE_DATE,EXPIRATION_DATE,OPTION_TYPE,STRIKE_PRICE,OPTION_OPEN_PRICE,OPTION_HIGH_PRICE,OPTION_LOW_PRICE,OPTION_CLOSE_PRICE,OPTION_VWAP,OPTION_VOLUME,OPTION_TRADES,UNDERLYING_OPEN_PRICE,UNDERLYING_HIGH_PRICE,UNDERLYING_LOW_PRICE,UNDERLYING_CLOSE_PRICE,UNDERLYING_VWAP,UNDERLYING_VOLUME,UNDERLYING_TRADES,DAYS_TO_EXPIRATION,SIGNED_MONEYNESS_RAW,SIGNED_MONEYNESS_PCT,OPTION_AGGREGATES_TIMESTAMP,UNDERLYING_AGGREGATES_TIMESTAMP,OPTION_INSERTED_AT,UNDERLYING_INSERTED_AT,OPTION_LOAD_DATE,UNDERLYING_LOAD_DATE,OPTION_FILENAME,UNDERLYING_FILENAME,MISSING_UNDERLYING_FLAG
O:AAPL251121P00100000,AAPL,2025-11-21,2025-11-21,P,100.0000,0.0100,0.0400,0.0100,0.0100,0.0125,12,3,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-171.4900,-0.6316623080,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00100000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00105000,AAPL,2025-11-21,2025-11-21,P,105.0000,0.1600,0.1600,0.0400,0.0600,0.0526,42,6,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-166.4900,-0.6132454234,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00105000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00115000,AAPL,2025-11-21,2025-11-21,P,115.0000,0.0200,0.0200,0.0200,0.0200,0.0200,1,1,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-156.4900,-0.5764116542,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00115000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00120000,AAPL,2025-11-21,2025-11-21,P,120.0000,0.0700,0.0700,0.0700,0.0700,0.0700,1,1,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-151.4900,-0.5579947696,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00120000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00130000,AAPL,2025-11-21,2025-11-21,P,130.0000,0.0300,0.0300,0.0100,0.0100,0.0200,2,2,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-141.4900,-0.5211610004,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00130000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00135000,AAPL,2025-11-21,2025-11-21,P,135.0000,0.2500,0.2500,0.2500,0.2500,0.2500,1,1,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-136.4900,-0.5027441158,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00135000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00150000,AAPL,2025-11-21,2025-11-21,P,150.0000,0.0100,0.0100,0.0100,0.0100,0.0100,20,9,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-121.4900,-0.4474934620,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00150000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00185000,AAPL,2025-11-21,2025-11-21,P,185.0000,0.0100,0.0100,0.0100,0.0100,0.0100,113,8,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-86.4900,-0.3185752698,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00185000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00190000,AAPL,2025-11-21,2025-11-21,P,190.0000,0.0100,0.0100,0.0100,0.0100,0.0100,3,1,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-81.4900,-0.3001583852,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00190000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
O:AAPL251121P00195000,AAPL,2025-11-21,2025-11-21,P,195.0000,0.0100,0.0100,0.0100,0.0100,0.0100,3,3,265.9500,273.3300,265.6700,271.4900,270.5154,59200384,792421,0,-76.4900,-0.2817415006,2025-11-20 21:00:00,2025-11-20 21:00:00,2025-11-22 00:31:22.374000,2025-11-21 23:31:22.075000,2025-11-22,2025-11-21,raw/polygon/options/per_contract/2025/11/21/O:AAPL251121P00195000.json.gz,raw/polygon/stocks/per_ticker/2025/11/21/AAPL.json.gz,0
